Images,Stage,Region,Rtotal,m,b,Ch1 thresh,Ch2 thresh,Rcoloc,R<threshold,M1,M2,tM1,tM2,Ncoloc,%Volume,%Ch1 Vol,%Ch2 Vol,%Ch1 Int,%Ch2 Int,%Ch1 Int > thresh,%Ch2 Int >thresh
C1-Image361014 & C2-Image361014,EHF,ect1,0.142,680.497,-8277.5,6,-4194,0.1371,0.058,1,1,1,0.9994,257829,5.09%,99.76%,99.63%,99.85%,99.81%,99.90%,99.81%
C1-Image361014 & C3-Image361014,EHF,ect1,0.187,72.412,-836.4,6,-402,0.1817,0.024,1,1,1,0.9993,257829,5.09%,99.76%,99.63%,99.85%,99.79%,99.90%,99.79%
C1-Image361014 & C4-Image361014,EHF,ect1,0.232,217.863,-2411.2,6,-1104,0.2273,-0.006,1,1,1,0.9993,257829,5.09%,99.76%,99.63%,99.85%,99.78%,99.90%,99.78%
C2-Image361014 & C3-Image361014,EHF,ect1,0.739,0.104,45.9,277,75,0.613,0.268,1,1,0.8616,0.8821,170452,3.36%,84.20%,92.43%,83.78%,80.97%,90.02%,94.36%
C2-Image361014 & C4-Image361014,EHF,ect1,0.175,0.124,350.2,656,432,-0.0858,0.007,1,1,0.4757,0.3575,42576,0.84%,49.30%,37.70%,27.80%,22.66%,48.58%,36.78%
C3-Image361014 & C4-Image361014,EHF,ect1,0.305,11.529,-789.5,12,-651,0.3047,0.012,1,1,1,1,258729,5.11%,99.99%,99.98%,100.00%,100.00%,100.00%,100.00%
C1-Image361014 & C2-Image361014,EHF,ect2,0.064,1101.31,-16116.6,7,-8407,0.0557,-0.005,1,1,1,0.9985,201829,3.98%,98.96%,98.71%,99.42%,99.09%,99.52%,99.09%
C1-Image361014 & C3-Image361014,EHF,ect2,0.114,91.856,-1290.8,6,-740,0.1109,0.001,1,1,1,0.9995,203950,4.03%,99.83%,99.75%,99.91%,99.84%,99.93%,99.84%
C1-Image361014 & C4-Image361014,EHF,ect2,0.217,180.256,-2354.8,7,-1093,0.2014,-0.001,1,1,1,0.9987,201829,3.98%,98.96%,98.71%,99.42%,99.24%,99.52%,99.24%
C2-Image361014 & C3-Image361014,EHF,ect2,0.714,0.108,43.4,210,66,0.5655,0.222,1,1,0.8116,0.838,115682,2.28%,79.01%,89.61%,78.06%,74.71%,86.19%,92.40%
C2-Image361014 & C4-Image361014,EHF,ect2,0.313,0.236,253.8,280,320,-0.0176,0.038,1,1,0.6548,0.6725,82979,1.64%,69.97%,74.02%,58.01%,55.06%,70.44%,74.98%
C3-Image361014 & C4-Image361014,EHF,ect2,0.451,7.726,-323.2,18,-184,0.4472,0.076,1,1,1,0.9996,203943,4.03%,99.91%,99.75%,99.95%,99.94%,99.98%,99.94%
C1-Image361014 & C2-Image361014,EHF,ect3,0.103,1037.277,-12902.6,5,-7716,0.1013,-0.008,1,1,1,1,200526,3.96%,99.89%,99.89%,99.96%,99.94%,99.96%,99.94%
C1-Image361014 & C3-Image361014,EHF,ect3,0.146,99.81,-1191.5,6,-593,0.1415,0.061,1,1,1,0.9994,200053,3.95%,99.76%,99.66%,99.86%,99.78%,99.90%,99.78%
C1-Image361014 & C4-Image361014,EHF,ect3,0.218,239.354,-2683.6,6,-1247,0.2142,0.041,1,1,1,0.9993,200053,3.95%,99.76%,99.66%,99.86%,99.77%,99.90%,99.77%
C2-Image361014 & C3-Image361014,EHF,ect3,0.769,0.105,45.1,234,70,0.6796,0.271,1,1,0.8934,0.9193,143342,2.83%,85.50%,94.83%,87.82%,85.47%,91.98%,96.43%
C2-Image361014 & C4-Image361014,EHF,ect3,0.115,0.074,385,832,446,-0.0871,0.008,1,1,0.4345,0.2197,18165,0.36%,42.53%,21.89%,17.49%,12.39%,40.92%,20.99%
C3-Image361014 & C4-Image361014,EHF,ect3,0.249,13.552,-1008.5,14,-819,0.2479,-0.009,1,1,1,1,200658,3.96%,99.98%,99.96%,99.99%,99.99%,100.00%,99.99%
C1-Image361014 & C2-Image361014,EHF,end1,0.231,560.589,-8209.4,8,-3725,0.221,0.037,1,1,1,0.9983,64290,1.27%,99.24%,98.85%,99.46%,99.46%,99.63%,99.46%
C1-Image361014 & C3-Image361014,EHF,end1,0.249,73.511,-1020.2,8,-432,0.2373,0.004,1,1,1,0.9978,64290,1.27%,99.24%,98.85%,99.46%,99.32%,99.63%,99.32%
C1-Image361014 & C4-Image361014,EHF,end1,0.184,168.128,-2326.1,8,-981,0.1705,0.023,1,1,1,0.9974,64290,1.27%,99.24%,98.85%,99.46%,99.20%,99.63%,99.20%
C2-Image361014 & C3-Image361014,EHF,end1,0.805,0.115,68.9,188,90,0.745,0.234,1,1,0.9364,0.9492,50481,1.00%,88.76%,96.75%,93.00%,90.44%,94.92%,97.95%
C2-Image361014 & C4-Image361014,EHF,end1,0.321,0.08,303,502,343,0.0162,0.053,1,1,0.6861,0.6676,27051,0.53%,67.74%,72.49%,61.41%,51.20%,71.53%,72.05%
C3-Image361014 & C4-Image361014,EHF,end1,0.405,3.015,-106.4,26,-28,0.3946,-0.001,1,1,1,0.9992,64728,1.28%,99.88%,99.52%,99.93%,99.89%,99.98%,99.89%
C1-Image361014 & C2-Image361014,EHF,end2,0.2,511.139,-7010.1,9,-2410,0.1705,0.024,1,1,1,0.9896,85120,1.68%,97.18%,95.40%,97.52%,97.09%,98.39%,97.09%
C1-Image361014 & C3-Image361014,EHF,end2,0.244,48.372,-616.6,7,-278,0.2377,0.024,1,1,1,0.9993,88626,1.75%,99.44%,99.33%,99.71%,99.57%,99.75%,99.57%
C1-Image361014 & C4-Image361014,EHF,end2,0.082,332.828,-4636.4,9,-1641,0.0715,0.012,1,1,1,0.9833,85120,1.68%,97.18%,95.40%,97.52%,95.72%,98.39%,95.72%
C2-Image361014 & C3-Image361014,EHF,end2,0.72,0.084,54,209,71,0.5538,0.172,1,1,0.9097,0.915,64252,1.27%,87.24%,95.34%,89.89%,85.96%,93.07%,96.86%
C2-Image361014 & C4-Image361014,EHF,end2,0.302,0.085,300,628,354,0.0074,0.005,1,1,0.5809,0.5284,26346,0.52%,60.80%,58.97%,46.65%,37.09%,62.79%,59.25%
C3-Image361014 & C4-Image361014,EHF,end2,0.325,5.867,-283.5,88,233,0.0877,0.077,1,1,0.9204,0.6827,53366,1.05%,93.81%,68.98%,76.09%,65.70%,94.83%,70.38%
C1-Image361014 & C2-Image361014,EHF,end3,0.17,618.434,-9183.9,7,-4855,0.1634,0.03,1,1,1,0.9997,51917,1.02%,99.56%,99.48%,99.78%,99.74%,99.81%,99.74%
C1-Image361014 & C3-Image361014,EHF,end3,0.247,54.344,-744.5,9,-255,0.2089,0.036,1,1,1,0.9921,50307,0.99%,97.80%,96.39%,98.13%,97.80%,98.79%,97.80%
C1-Image361014 & C4-Image361014,EHF,end3,0.115,218.853,-3152.6,9,-1183,0.0959,0.028,1,1,1,0.9879,50307,0.99%,97.80%,96.39%,98.13%,96.87%,98.79%,96.87%
C2-Image361014 & C3-Image361014,EHF,end3,0.76,0.098,55.6,230,78,0.6598,0.248,1,1,0.9175,0.9363,39299,0.78%,87.75%,95.94%,90.70%,88.36%,93.40%,97.34%
C2-Image361014 & C4-Image361014,EHF,end3,0.306,0.078,293.5,613,341,0.0271,-0.004,1,1,0.6063,0.5675,17070,0.34%,62.33%,62.68%,50.10%,40.71%,64.82%,63.12%
C3-Image361014 & C4-Image361014,EHF,end3,0.35,4.143,-168.9,92,212,0.1526,0.037,1,1,0.9439,0.7417,34556,0.68%,95.17%,73.57%,81.71%,72.12%,96.37%,75.65%
C1-Image361014 & C3-Image361014,EHF,mes1,0.067,43.674,-1055.5,32,342,0.5467,0.067,1,1,0.0001,0.2793,6,0.00%,0.00%,8.33%,0.00%,0.01%,0.00%,7.67%
C2-Image361014 & C3-Image361014,EHF,mes1,0.399,0.063,58.2,280,76,0.2305,0.001,1,1,0.6102,0.6168,167790,3.31%,63.19%,67.61%,49.64%,45.72%,67.03%,69.42%
C2-Image361014 & C4-Image361014,EHF,mes1,0.209,0.352,262,374,393,-0.0412,0.003,1,1,0.4689,0.3592,81777,1.61%,52.72%,40.91%,27.71%,23.38%,52.83%,41.05%
C3-Image361014 & C4-Image361014,EHF,mes1,0.224,21.539,-1339.1,16,-995,0.2211,-0.009,1,1,1,0.9999,474704,9.37%,99.97%,99.93%,99.99%,99.98%,99.99%,99.98%
C2-Image361014 & C3-Image361014,EHF,mes2,0.378,0.065,61.2,311,82,0.2484,-0.007,1,1,0.5438,0.4866,65822,1.30%,60.28%,56.36%,39.44%,34.75%,63.31%,58.28%
C2-Image361014 & C4-Image361014,EHF,mes2,0.276,0.389,226.6,332,356,0.0116,0.009,1,1,0.5163,0.4245,56425,1.11%,59.00%,49.82%,34.66%,29.86%,60.66%,50.46%
C3-Image361014 & C4-Image361014,EHF,mes2,0.317,13.236,-742.6,72,210,0.1127,-0.007,1,1,0.9189,0.6751,144883,2.86%,92.84%,64.35%,69.42%,64.51%,94.04%,68.11%
C1-Image361014 & C3-Image361014,EHF,mes3,0.045,57.122,-1624.7,32,203,-0.0072,0.038,1,1,0.0045,0.4239,285,0.01%,0.40%,38.83%,0.24%,0.44%,0.42%,39.25%
C1-Image361014 & C4-Image361014,EHF,mes3,0.028,421.514,-12271.4,32,1217,0.152,0.028,1,1,0.0001,0.4223,8,0.00%,0.01%,57.14%,0.01%,0.02%,0.01%,57.88%
C2-Image361014 & C3-Image361014,EHF,mes3,0.458,0.066,63.6,280,82,0.3101,0.047,1,1,0.6679,0.6834,68778,1.36%,66.58%,72.77%,57.27%,52.49%,71.39%,74.65%
C2-Image361014 & C4-Image361014,EHF,mes3,0.102,0.084,341.4,561,389,-0.0342,-0.004,1,1,0.4239,0.1741,11661,0.23%,40.99%,17.18%,14.47%,8.96%,41.56%,16.59%
C3-Image361014 & C4-Image361014,EHF,mes3,0.252,15.069,-967.2,12,-786,0.2493,-0.023,1,1,1,1,165715,3.27%,99.97%,99.94%,99.99%,99.99%,100.00%,99.99%
C1-Image880134 & C2-Image880134,EHF,ect1,0,-132502.749,1722943.7,255,-32065257,NaN,0,1,1,1,0,0,0.00%,NaN%,0.00%,0.00%,0.00%,NaN%,0.00%
C1-Image880134 & C3-Image880134,EHF,ect1,0.094,125.238,-1526.1,6,-775,0.0897,-0.006,1,1,1,0.9987,475439,9.38%,99.65%,99.48%,99.78%,99.59%,99.84%,99.59%
C1-Image880134 & C4-Image880134,EHF,ect1,0.072,221.648,-2724.4,6,-1395,0.0676,0.019,1,1,1,0.9986,475439,9.38%,99.65%,99.48%,99.78%,99.57%,99.84%,99.57%
C2-Image880134 & C3-Image880134,EHF,ect1,0.519,0.112,56.4,304,90,0.3327,0.048,1,1,0.6658,0.764,223422,4.41%,67.87%,81.91%,59.56%,60.60%,72.73%,84.46%
C2-Image880134 & C4-Image880134,EHF,ect1,0.317,0.097,117.4,406,157,0.0475,0.015,1,1,0.5106,0.4552,114535,2.26%,59.15%,54.38%,35.33%,32.22%,61.52%,55.73%
C3-Image880134 & C4-Image880134,EHF,ect1,0.377,2.144,-61.7,11,-38,0.3767,-0.005,1,1,1,1,477882,9.43%,100.00%,99.99%,100.00%,100.00%,100.00%,100.00%
C1-Image880134 & C2-Image880134,EHF,ect2,-0.002,-31550.354,410552.6,255,-7634788,NaN,-0.002,1,1,1,0,0,0.00%,NaN%,0.00%,0.00%,0.00%,NaN%,0.00%
C1-Image880134 & C3-Image880134,EHF,ect2,0.067,211.302,-2638.9,12,-103,0.0505,0.034,1,1,1,0.7583,176307,3.48%,80.58%,60.39%,69.67%,61.41%,84.65%,61.41%
C1-Image880134 & C4-Image880134,EHF,ect2,0.07,232.554,-2859.2,7,-1231,0.0649,0.017,1,1,1,0.9972,287475,5.67%,98.78%,98.47%,99.26%,98.60%,99.38%,98.60%
C2-Image880134 & C3-Image880134,EHF,ect2,0.555,0.117,61.4,247,90,0.3774,0.096,1,1,0.7173,0.8539,156960,3.10%,68.82%,89.73%,67.96%,69.20%,76.20%,91.94%
C2-Image880134 & C4-Image880134,EHF,ect2,0.337,0.085,130.2,330,158,0.0392,0.015,1,1,0.6012,0.5962,103680,2.05%,66.50%,69.73%,49.52%,45.60%,69.44%,71.12%
C3-Image880134 & C4-Image880134,EHF,ect2,0.468,1.378,15.2,94,145,0.1468,0.022,1,1,0.6898,0.6246,124325,2.45%,76.85%,70.89%,56.80%,53.00%,79.48%,73.10%
C1-Image880134 & C3-Image880134,EHF,ect3,0.099,116.884,-1419.5,6,-718,0.0961,-0.011,1,1,1,0.9986,337438,6.66%,99.62%,99.44%,99.76%,99.53%,99.83%,99.53%
C1-Image880134 & C4-Image880134,EHF,ect3,0.08,215.617,-2650,6,-1356,0.0758,0.001,1,1,1,0.9986,337438,6.66%,99.62%,99.44%,99.76%,99.53%,99.83%,99.53%
C2-Image880134 & C3-Image880134,EHF,ect3,0.492,0.102,56,311,88,0.3199,-0.003,1,1,0.6598,0.7835,165277,3.26%,68.21%,85.50%,60.94%,62.62%,72.70%,87.22%
C2-Image880134 & C4-Image880134,EHF,ect3,0.239,0.073,121.3,466,155,0.0057,-0.014,1,1,0.4818,0.3682,64005,1.26%,56.74%,44.67%,29.05%,25.37%,57.94%,45.07%
C3-Image880134 & C4-Image880134,EHF,ect3,0.333,2.512,-98.2,69,75,0.2193,0.036,1,1,0.9791,0.8166,258645,5.11%,98.47%,78.96%,86.64%,81.16%,98.72%,82.26%
C1-Image885660 & C2-Image885660,EHF,end1,0.044,2267.637,-26694.6,7,-10821,0.0356,0.003,1,1,1,0.9891,360129,7.11%,96.55%,95.37%,97.53%,95.78%,98.08%,95.78%
C1-Image885660 & C3-Image885660,EHF,end1,0.105,133.021,-1508.3,7,-577,0.0913,0.015,1,1,1,0.9898,360129,7.11%,96.55%,95.37%,97.53%,96.02%,98.08%,96.02%
C1-Image885660 & C4-Image885660,EHF,end1,0.165,132.608,-1426.3,6,-631,0.1563,-0.002,1,1,1,0.9968,372980,7.36%,99.20%,98.77%,99.44%,99.06%,99.61%,99.06%
C2-Image885660 & C3-Image885660,EHF,end1,0.696,0.099,36.6,195,56,0.5954,-0.001,1,1,0.8648,0.9253,258199,5.10%,79.58%,92.93%,84.30%,83.77%,87.76%,95.47%
C2-Image885660 & C4-Image885660,EHF,end1,0.213,0.049,139.9,616,170,0.0275,-0.008,1,1,0.4816,0.3474,61697,1.22%,51.97%,38.80%,29.32%,22.78%,52.48%,39.61%
C3-Image885660 & C4-Image885660,EHF,end1,0.3,3.267,-122.5,86,158,0.094,-0.005,1,1,0.5692,0.4825,100833,1.99%,62.71%,53.25%,40.23%,36.22%,63.69%,55.35%
C1-Image885660 & C2-Image885660,EHF,end2,0.056,1828.959,-21344.5,6,-10371,0.0535,0.009,1,1,1,0.998,104324,2.06%,99.53%,99.29%,99.69%,99.38%,99.78%,99.38%
C1-Image885660 & C3-Image885660,EHF,end2,0.086,176.671,-2023,7,-786,0.0753,0.018,1,1,1,0.9941,101912,2.01%,97.69%,96.99%,98.44%,97.43%,98.75%,97.43%
C1-Image885660 & C4-Image885660,EHF,end2,0.109,129.297,-1411.6,8,-377,0.0823,0.039,1,1,1,0.9737,98022,1.93%,96.18%,93.29%,96.15%,93.98%,97.67%,93.98%
C2-Image885660 & C3-Image885660,EHF,end2,0.672,0.099,37.2,305,67,0.541,0.076,1,1,0.8351,0.8978,68766,1.36%,80.74%,91.53%,80.56%,81.49%,86.39%,94.07%
C2-Image885660 & C4-Image885660,EHF,end2,0.199,0.027,123.4,723,143,0.006,0.006,1,1,0.4959,0.3199,16351,0.32%,51.67%,34.13%,26.30%,19.92%,51.34%,34.11%
C3-Image885660 & C4-Image885660,EHF,end2,0.355,0.812,61.2,81,127,0.1206,0.007,1,1,0.6761,0.639,42634,0.84%,69.03%,67.09%,54.54%,49.69%,70.74%,68.39%
C1-Image885660 & C2-Image885660,EHF,end3,0.022,4631.099,-55004.2,7,-22586,0.0163,0.004,1,1,1,0.9934,334748,6.61%,97.71%,97.00%,98.46%,97.22%,98.77%,97.22%
C1-Image885660 & C3-Image885660,EHF,end3,0.064,233.401,-2704.8,7,-1071,0.0543,0.024,1,1,1,0.9938,334748,6.61%,97.71%,97.00%,98.46%,97.35%,98.77%,97.35%
C1-Image885660 & C4-Image885660,EHF,end3,0.085,233.067,-2623.8,6,-1225,0.0796,0.008,1,1,1,0.9981,342595,6.76%,99.51%,99.27%,99.68%,99.40%,99.77%,99.40%
C2-Image885660 & C3-Image885660,EHF,end3,0.677,0.096,41.2,255,66,0.5568,-0.01,1,1,0.8355,0.8943,226096,4.46%,79.91%,92.89%,81.76%,80.55%,86.94%,94.80%
C2-Image885660 & C4-Image885660,EHF,end3,0.134,0.026,158,908,182,0.038,0.005,1,1,0.4118,0.1636,23141,0.46%,43.40%,17.68%,14.13%,9.16%,43.73%,17.90%
C3-Image885660 & C4-Image885660,EHF,end3,0.221,3.082,-122.9,103,195,0.0088,-0.005,1,1,0.337,0.4095,47202,0.93%,36.41%,45.86%,21.39%,20.04%,37.69%,47.23%
C1-Image492565 & C3-Image492565,EHF,mes1,0.202,13.38,-224,22,70,0.0155,-0.014,1,1,0.2947,0.4469,29756,0.59%,30.05%,46.50%,17.85%,19.48%,31.11%,47.20%
C1-Image492565 & C4-Image492565,EHF,mes1,0.045,100.138,-1975.9,10,-975,0.0254,0.006,1,1,1,0.9687,227496,4.49%,96.84%,93.55%,97.21%,94.03%,98.53%,94.03%
C2-Image492565 & C3-Image492565,EHF,mes1,0.427,0.07,34.9,314,57,0.3731,-0.004,1,1,0.5217,0.4707,55749,1.10%,56.31%,51.69%,35.49%,33.39%,60.01%,54.86%
C2-Image492565 & C4-Image492565,EHF,mes1,0.175,0.047,112.2,419,132,0.22,0,1,1,0.433,0.2005,20869,0.41%,45.02%,21.32%,15.77%,11.31%,45.83%,21.64%
C3-Image492565 & C4-Image492565,EHF,mes1,0.268,3.678,-82.6,38,57,0.2083,-0.019,1,1,0.9897,0.8084,188671,3.72%,99.12%,78.84%,88.08%,80.57%,99.28%,81.06%
C1-Image492565 & C3-Image492565,EHF,mes2,0.125,19.44,-366.7,20,22,0.027,0.017,1,1,0.9905,0.5901,96378,1.90%,92.67%,52.98%,67.99%,55.11%,94.70%,55.30%
C1-Image492565 & C4-Image492565,EHF,mes2,0.073,56.267,-1111.9,8,-662,0.0684,-0.006,1,1,1,0.9973,182540,3.60%,99.50%,99.19%,99.73%,99.30%,99.83%,99.30%
C2-Image492565 & C3-Image492565,EHF,mes2,0.33,0.046,45.9,367,63,0.2377,0.004,1,1,0.4855,0.3561,32474,0.64%,56.81%,42.54%,29.61%,25.11%,60.25%,44.12%
C2-Image492565 & C4-Image492565,EHF,mes2,0.079,0.017,120.2,516,129,-0.0504,-0.008,1,1,0.4489,0.1088,8715,0.17%,44.34%,10.95%,9.92%,5.99%,43.64%,10.90%
C3-Image492565 & C4-Image492565,EHF,mes2,0.181,5.256,-194.6,65,147,-0.0329,0.001,1,1,0.2835,0.412,20927,0.41%,29.17%,43.35%,16.24%,15.85%,29.89%,43.36%
C1-Image492565 & C3-Image492565,EHF,mes3,0.222,12.129,-186.6,22,80,0.0149,0.08,1,1,0.1733,0.4117,19566,0.39%,19.66%,48.03%,11.00%,12.86%,20.39%,47.70%
C1-Image492565 & C4-Image492565,EHF,mes3,0.11,41.71,-711.2,7,-419,0.105,-0.001,1,1,1,0.9979,267219,5.27%,99.29%,99.04%,99.68%,99.19%,99.75%,99.19%
C2-Image492565 & C3-Image492565,EHF,mes3,0.394,0.058,37.5,326,56,0.2928,0.008,1,1,0.534,0.4399,59020,1.17%,58.12%,48.44%,35.22%,31.97%,61.91%,51.54%
C2-Image492565 & C4-Image492565,EHF,mes3,0.149,0.036,111.5,435,127,0.1757,-0.004,1,1,0.4538,0.1839,22136,0.44%,46.74%,19.31%,15.57%,10.79%,46.68%,19.59%
C3-Image492565 & C4-Image492565,EHF,mes3,0.292,3.54,-75.2,8,-47,0.2924,-0.002,1,1,1,0.9999,269787,5.33%,100.00%,99.99%,100.00%,99.99%,100.00%,99.99%
C1-Image194758 & C2-Image194758,EHF,ect1,0.125,600.104,-9076.7,7,-4876,0.1215,0.013,1,1,1,0.9998,667034,13.17%,99.76%,99.72%,99.88%,99.83%,99.90%,99.83%
C1-Image194758 & C3-Image194758,EHF,ect1,0.177,73.517,-1052.3,6,-611,0.1758,-0.007,1,1,1,0.9999,668631,13.20%,99.97%,99.95%,99.98%,99.98%,99.99%,99.98%
C1-Image194758 & C4-Image194758,EHF,ect1,0.201,228.669,-3229.7,6,-1858,0.1996,0.01,1,1,1,1,668631,13.20%,99.97%,99.95%,99.98%,99.98%,99.99%,99.98%
C2-Image194758 & C3-Image194758,EHF,ect1,0.59,0.104,69.6,329,104,0.4327,0.135,1,1,0.7367,0.8333,368702,7.28%,73.06%,88.94%,69.78%,69.54%,78.83%,90.91%
C2-Image194758 & C4-Image194758,EHF,ect1,0.333,0.299,271.9,439,403,0.0688,-0.017,1,1,0.5806,0.6094,227311,4.49%,63.01%,68.49%,47.94%,46.51%,65.82%,69.88%
C3-Image194758 & C4-Image194758,EHF,ect1,0.492,6.828,-417.7,16,-308,0.4912,0.013,1,1,1,1,668770,13.20%,99.99%,99.97%,100.00%,100.00%,100.00%,100.00%
C1-Image194758 & C2-Image194758,EHF,ect2,0.096,760.548,-11642.8,12,-2516,0.0911,-0.005,1,1,1,0.9341,360739,7.12%,92.13%,85.57%,90.30%,86.48%,94.45%,86.48%
C1-Image194758 & C3-Image194758,EHF,ect2,0.14,93.968,-1374.5,10,-435,0.1323,0.013,1,1,1,0.9872,406331,8.02%,97.79%,96.38%,97.93%,96.75%,98.67%,96.75%
C1-Image194758 & C4-Image194758,EHF,ect2,0.181,258.485,-3700.8,9,-1374,0.176,0.022,1,1,1,0.997,415530,8.20%,98.93%,98.56%,99.25%,98.80%,99.42%,98.80%
C2-Image194758 & C3-Image194758,EHF,ect2,0.594,0.107,72.5,326,108,0.4329,0.075,1,1,0.7353,0.8449,236469,4.67%,72.33%,90.45%,70.13%,69.88%,78.78%,92.24%
C2-Image194758 & C4-Image194758,EHF,ect2,0.352,0.338,257.2,489,422,0.0479,0.007,1,1,0.548,0.5264,121216,2.39%,63.60%,62.54%,42.43%,40.32%,66.15%,64.02%
C3-Image194758 & C4-Image194758,EHF,ect2,0.521,6.553,-410.4,111,317,0.2565,-0.015,1,1,0.76,0.6879,206998,4.09%,82.61%,71.71%,62.47%,62.27%,84.87%,76.00%
C1-Image194758 & C2-Image194758,EHF,ect3,0.117,649.655,-9858.5,6,-5961,0.1162,0.006,1,1,1,0.9999,581489,11.48%,99.98%,99.96%,99.99%,99.98%,99.99%,99.98%
C1-Image194758 & C3-Image194758,EHF,ect3,0.17,76.963,-1104.4,6,-643,0.1688,0.015,1,1,1,1,581489,11.48%,99.98%,99.96%,99.99%,99.98%,99.99%,99.98%
C1-Image194758 & C4-Image194758,EHF,ect3,0.209,222.12,-3121.9,6,-1789,0.208,0.03,1,1,1,1,581489,11.48%,99.98%,99.96%,99.99%,99.98%,99.99%,99.98%
